OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 33 DEB,1997-051CX,2024-04-21T13:41:35.665152,14.58823745,0.0010637,86.3925,298.6795,154.5376,271.3713,0,U,34088,999,79899,0.0057748,0.00027125,0
IRIDIUM 33 DEB,1997-051DA,2024-04-21T19:14:24.091008,14.4560136,0.0063151,86.3644,332.2689,198.6363,161.2527,0,U,34091,999,79098,0.0045079,0.00016362,0
IRIDIUM 33 DEB,1997-051DG,2024-04-21T20:31:34.642848,14.26375524,0.0091465,86.2,264.3704,143.0629,217.6909,0,U,34097,999,78603,0.0066004,0.0001662,0
IRIDIUM 33 DEB,1997-051DM,2024-04-21T17:50:58.791264,14.53370881,0.0079858,86.3684,8.4301,49.4427,9.423,0,U,34102,999,78667,0.015778,0.00069053,0
IRIDIUM 33 DEB,1997-051DR,2024-04-21T15:46:14.124288,14.72010722,0.0011946,86.3538,250.6225,190.9583,296.1744,0,U,34106,999,80226,0.0094079,0.00059592,0
IRIDIUM 33 DEB,1997-051DS,2024-04-21T22:49:13.542816,14.81475288,0.0011422,86.3674,258.4236,216.7056,264.0124,0,U,34107,999,80311,0.010312,0.00081753,0
IRIDIUM 33 DEB,1997-051DY,2024-04-21T18:26:18.489120,14.34587142,0.0058852,86.2169,238.0063,259.6053,99.8506,0,U,34145,999,79019,0.0040608,0.00011721,0
IRIDIUM 33 DEB,1997-051DZ,2024-04-21T10:22:05.439360,14.41773453,0.0033517,86.2832,253.3599,57.9564,0.7604,0,U,34146,999,79433,0.002317,7.636e-05,0
IRIDIUM 33 DEB,1997-051EN,2024-04-21T23:52:53.828544,14.35497996,0.0031749,86.3472,303.2752,92.4667,268.0165,0,U,34159,999,79344,0.0014395,4.182e-05,0
IRIDIUM 33 DEB,1997-051ES,2024-04-21T10:55:28.020288,14.42282752,0.0020631,86.3253,262.5221,331.839,87.0665,0,U,34350,999,79630,0.0012504,4.153e-05,0
IRIDIUM 33 DEB,1997-051FA,2024-04-21T18:51:06.228000,14.84834603,0.0017351,86.3166,231.4062,347.7942,164.103,0,U,34358,999,80115,0.014513,0.00125697,0
IRIDIUM 33 DEB,1997-051FJ,2024-04-21T14:11:48.615360,14.44036884,0.0022019,86.3697,308.2516,351.1443,68.1826,0,U,34366,999,79488,0.0028791,9.899e-05,0
