OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
2024-023M,2024-023M,2024-02-24T10:59:25.444896,14.68918595,0.0099205,49.8996,339.4511,312.3312,46.9246,0,U,58916,999,315,0.00025933,1.428e-05,0
2024-024A,2024-024A,2024-02-24T11:13:28.015104,15.17925111,0.0009025,97.4022,132.4923,199.7288,160.3598,0,U,58917,999,324,0.00082756,0.00016765,0
2024-024B,2024-024B,2024-02-24T11:16:22.521504,15.17629735,0.0010638,97.403,132.4915,202.4416,157.6354,0,U,58918,999,323,0.00054732,0.00010968,0
2024-024C,2024-024C,2024-02-24T11:08:56.635296,15.18085124,0.00097,97.4027,132.4969,210.8307,149.2358,0,U,58919,999,323,0.00070404,0.00014316,0
2024-024D,2024-024D,2024-02-24T11:06:38.409984,15.1827203,0.0009759,97.404,132.5028,211.6612,148.4036,0,U,58920,999,323,0.00083565,0.00017103,0
2024-024E,2024-024E,2024-02-24T11:12:01.603008,15.17707831,0.0010436,97.3977,132.4803,209.2794,150.7856,0,U,58921,999,323,0.00028868,5.762e-05,0
2024-024F,2024-024F,2024-02-24T11:06:43.946496,15.18153005,0.0010612,97.3977,132.4841,213.6201,146.4361,0,U,58922,999,323,0.00061142,0.00012448,0
2024-024G,2024-024G,2024-02-24T11:03:49.151520,15.18342231,0.0010638,97.4054,132.5099,214.3755,145.6792,0,U,58923,999,323,0.00048692,9.951e-05,0
2024-024H,2024-024H,2024-02-24T11:04:32.923488,15.18332399,0.0011108,97.4025,132.5004,213.1527,146.9012,0,U,58924,999,3995,0.00074181,0.00015203,0
2024-024J,2024-024J,2024-02-24T11:06:09.270720,15.18124487,0.0011372,97.4028,132.5006,213.6463,146.4051,0,U,58925,999,3994,0.00057044,0.00011601,0
2024-024K,2024-024K,2024-02-24T11:02:52.235520,15.74533667,0.0213357,97.4119,134.1158,258.2735,99.4522,0,U,58926,999,4004,0.00069025,0.00470159,2.3277e-06
2024-024L,2024-024L,2024-02-24T10:58:50.972160,15.18904408,0.0010658,97.4059,132.5156,216.0456,144.0061,0,U,58927,999,282,0.0012965,0.00027104,0
PACE,2024-025A,2024-02-23T19:47:59.521344,14.65253496,0.0001092,98.0883,348.1849,65.5723,294.5594,0,U,58928,999,227,0.00020271,1.045e-05,0
COSMOS 2575,2024-026A,2024-02-24T12:02:30.503616,15.72352461,0.0006587,96.7547,313.6155,347.4559,12.6541,0,U,58929,999,239,0.00022725,0.00030053,0
SL-4 R/B,2024-026B,2024-02-24T11:43:22.839456,15.74420853,0.0003528,96.7576,313.6513,329.562,30.5441,0,U,58930,999,237,0.00049171,0.00071437,0
STARLINK-31317,2024-027A,2024-02-24T06:00:00.999648,15.63616392,0.0001142,53.1599,166.8385,96.6422,150.5949,0,U,58931,999,319,-0.020109,-0.01677919,0
