OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2251 DEB,1993-036AYT,2024-04-21T18:50:28.820256,14.24068323,0.0104426,74.0675,280.5552,98.8487,262.45,0,U,36366,999,77717,0.0069741,0.0001698,0
COSMOS 2251 DEB,1993-036AYU,2024-04-15T10:18:50.051808,13.8234399,0.0273723,74.0978,171.1961,28.9778,332.6231,0,U,36367,999,49138,0.0012411,1.764e-05,0
COSMOS 2251 DEB,1993-036AYV,2024-04-20T19:55:06.937824,14.326579,0.0119065,74.1621,61.8799,101.7132,259.7408,0,U,36368,999,51860,0.0094223,0.00027796,0
COSMOS 2251 DEB,1993-036AYW,2024-04-17T20:25:10.255296,14.56487516,0.0020973,74.0388,153.2189,20.1967,340.0021,0,U,36369,999,77076,0.0028786,0.00012834,0
COSMOS 2251 DEB,1993-036AYY,2024-04-11T01:50:34.598112,14.51698684,0.0019463,74.0271,251.1225,84.905,275.4332,0,U,36371,999,76661,0.0021131,8.486e-05,0
COSMOS 2251 DEB,1993-036AYZ,2024-04-12T17:15:03.086208,14.70959793,0.0031254,74.0026,237.6944,76.6128,283.8524,0,U,36372,999,56826,0.0058188,0.00036101,0
COSMOS 2251 DEB,1993-036AZG,2024-04-17T21:35:12.041952,14.34113841,0.0048434,74.014,335.6081,247.7135,124.6559,0,U,36379,999,56165,0.00057176,1.595e-05,0
COSMOS 2251 DEB,1993-036AZJ,2024-04-19T18:51:08.178912,14.67158957,0.0036844,74.0104,263.9963,92.9777,267.5609,0,U,36381,999,76346,0.013528,0.00077712,0
COSMOS 2251 DEB,1993-036AZM,2024-04-21T21:58:03.933984,14.77139874,0.0015648,74.019,89.8764,268.4306,91.5076,0,U,36384,999,78264,0.011248,0.00080633,0
COSMOS 2251 DEB,1993-036AZN,2024-04-21T17:24:26.640576,14.52755752,0.0187061,73.9822,229.9915,186.6312,173.2374,0,U,36385,999,76327,0.0071761,0.0003726,0
COSMOS 2251 DEB,1993-036AZQ,2024-04-10T04:54:40.273056,14.63965498,0.0043043,73.9877,289.8893,162.9947,197.2675,0,U,36387,999,56990,0.0042506,0.00022606,0
COSMOS 2251 DEB,1993-036AZT,2024-04-21T22:06:51.182208,14.35827127,0.0018621,74.0358,297.3209,177.554,253.5858,0,U,36420,999,76546,0.00053635,1.53e-05,0
COSMOS 2251 DEB,1993-036AZV,2024-04-16T12:37:55.609248,15.50682677,0.0018591,73.9774,30.724,93.3773,266.9567,0,U,36422,999,56510,0.013487,0.00853833,0
COSMOS 2251 DEB,1993-036AZX,2024-04-21T21:57:25.755552,14.50206205,0.0074666,74.1764,212.5936,187.8798,172.1198,0,U,36424,999,75512,0.0156,0.00063444,0
COSMOS 2251 DEB,1993-036BAD,2024-04-10T19:32:02.749344,14.25345164,0.0098306,74.0042,135.5345,66.2534,294.8886,0,U,36430,999,55844,0.0003493,8.41e-06,0
COSMOS 2251 DEB,1993-036BAL,2024-04-20T08:43:23.057184,14.54757146,0.0023004,73.9496,113.8909,121.4008,238.9408,0,U,36437,999,57255,0.0038084,0.00016386,0
COSMOS 2251 DEB,1993-036BAN,2024-04-15T05:27:36.050976,13.44623129,0.0440068,73.9676,282.5129,13.8386,347.4329,0,U,36439,999,72344,0.0014768,1.526e-05,0
COSMOS 2251 DEB,1993-036BAQ,2024-04-20T18:38:55.869792,14.91739168,0.0142998,73.8467,145.8825,11.051,349.3754,0,U,36441,999,77956,0.0012009,0.00014728,0
COSMOS 2251 DEB,1993-036BAR,2024-04-22T02:29:34.267776,14.62112367,0.0026198,73.981,158.0257,58.0615,302.3093,0,U,36442,999,77088,0.0055754,0.00028252,0
COSMOS 2251 DEB,1993-036BAX,2024-04-16T06:29:33.177696,14.61592071,0.0032507,74.0838,302.1842,25.0075,335.2657,0,U,36448,999,56677,0.0067453,0.00033914,0
COSMOS 2251 DEB,1993-036BBA,2024-04-20T06:46:47.841888,14.13606926,0.0195582,73.9569,330.8388,283.1668,74.7715,0,U,36451,999,75709,0.0020704,4.663e-05,0
COSMOS 2251 DEB,1993-036BBC,2024-04-17T23:30:28.253952,14.44292536,0.0079884,73.9298,211.9112,249.6322,232.1625,0,U,36453,999,75723,0.003033,0.00010832,0
COSMOS 2251 DEB,1993-036BBV,2024-04-19T10:45:00.182592,14.64337862,0.0048967,73.8645,19.9114,323.2414,36.5397,0,U,36470,999,76667,0.0059572,0.00032131,0
COSMOS 2251 DEB,1993-036BCB,2024-04-22T02:57:41.035968,14.99971851,0.0021613,74.016,34.6671,207.5469,152.4574,0,U,36476,999,78526,0.016167,0.00207862,0
